Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Latency (s),5.821,15.661,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,2534.0,2090.5,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
factoid,Latency (s),2.159,2.242,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,1703.0,1552.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),7.63,6.119,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,1884.0,1077.0,GraphRAG không đắt hơn trong sample này.
